Node  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UY (mm)
9688;558,824  ;-0,377068  ;-20;-3,06467e+01
904;558,824  ;9,81147  ;20;-3,06486e+01
985;558,824  ;-9,81147  ;20;-3,06486e+01
218;558,824  ;-9,81147  ;-20;-3,06487e+01
302;558,824  ;9,81147  ;-20;-3,06487e+01
6941;558,824  ;14,9057  ;14,9057  ;-3,06550e+01
8437;558,824  ;-20;-20;-3,06550e+01
8439;558,824  ;-14,9057  ;-14,9057  ;-3,06550e+01
9243;558,824  ;-14,9057  ;14,9057  ;-3,06550e+01
10364;558,824  ;14,9057  ;-14,9057  ;-3,06550e+01
11733;558,824  ;20;-20;-3,06550e+01
14807;558,824  ;-20;20;-3,06550e+01
14828;558,824  ;20;20;-3,06550e+01
643;558,824  ;20;9,81147  ;-3,06613e+01
1244;558,824  ;-20;9,81147  ;-3,06613e+01
